id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1071
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1072
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1073
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1074
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1075
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1076
,,,,,Product,Public Price,Fix Price,1,40000,hsc_CHG1077
,,,,,Product,Public Price,Fix Price,1,22500,hsc_CHG1078
,,,,,Product,Public Price,Fix Price,1,35000,hsc_CHG1079
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1080
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1081
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1082
,,,,,Product,Public Price,Fix Price,1,30000,hsc_CHG1083
,,,,,Product,Public Price,Fix Price,1,25000,hsc_CHG1084
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1085
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1086
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1087
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1088
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1089
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1090
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1091
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1092
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1093
,,,,,Product,Public Price,Fix Price,1,55000,hsc_CHG1094
,,,,,Product,Public Price,Fix Price,1,50000,hsc_CHG1095
,,,,,Product,Public Price,Fix Price,1,45000,hsc_CHG1096
,,,,,Product,Public Price,Fix Price,1,1500,hsc_LAH1001
,,,,,Product,Public Price,Fix Price,1,5000,hsc_LAH1002
,,,,,Product,Public Price,Fix Price,1,7500,hsc_LAH1003
,,,,,Product,Public Price,Fix Price,1,5000,hsc_LAH1004
,,,,,Product,Public Price,Fix Price,1,1250,hsc_LAH1005
,,,,,Product,Public Price,Fix Price,1,2500,hsc_LAH1006
,,,,,Product,Public Price,Fix Price,1,17500,hsc_MAT1001
,,,,,Product,Public Price,Fix Price,1,15000,hsc_MAT1002
,,,,,Product,Public Price,Fix Price,1,15000,hsc_MAT1003
,,,,,Product,Public Price,Fix Price,1,1250,hsc_MAT1004
,,,,,Product,Public Price,Fix Price,1,40,hsc_MAT1005
,,,,,Product,Public Price,Fix Price,1,35,hsc_MAT1006
,,,,,Product,Public Price,Fix Price,1,250,hsc_MAT1007
,,,,,Product,Public Price,Fix Price,1,500,hsc_MAT1008
,,,,,Product,Public Price,Fix Price,1,1500,hsc_MAT1009
,,,,,Product,Public Price,Fix Price,1,250,hsc_MAT1010
,,,,,Product,Public Price,Fix Price,1,400,hsc_MAT1011
,,,,,Product,Public Price,Fix Price,1,1750,hsc_MAT1012
,,,,,Product,Public Price,Fix Price,1,1250,hsc_MAT1013
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1001
,,,,,Product,Public Price,Fix Price,1,25000,hsc_MAF1002
,,,,,Product,Public Price,Fix Price,1,35000,hsc_MAF1003
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1004
,,,,,Product,Public Price,Fix Price,1,35000,hsc_MAF1005
,,,,,Product,Public Price,Fix Price,1,40000,hsc_MAF1006
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1007
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1008
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1009
,,,,,Product,Public Price,Fix Price,1,25000,hsc_MAF1010
,,,,,Product,Public Price,Fix Price,1,30000,hsc_MAF1011
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1001
,,,,,Product,Public Price,Fix Price,1,22500,hsc_OBG1002
,,,,,Product,Public Price,Fix Price,1,21000,hsc_OBG1003
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1004
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1005
,,,,,Product,Public Price,Fix Price,1,22500,hsc_OBG1006
,,,,,Product,Public Price,Fix Price,1,23000,hsc_OBG1007
,,,,,Product,Public Price,Fix Price,1,30000,hsc_OBG1008
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1009
,,,,,Product,Public Price,Fix Price,1,50000,hsc_OBG1010
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1011
,,,,,Product,Public Price,Fix Price,1,50000,hsc_OBG1012
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OBG1013
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1014
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1015
,,,,,Product,Public Price,Fix Price,1,30000,hsc_OBG1016
,,,,,Product,Public Price,Fix Price,1,10000,hsc_OBG1017
,,,,,Product,Public Price,Fix Price,1,7500,hsc_OBG1018
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OBG1019
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OBG1020
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1021
,,,,,Product,Public Price,Fix Price,1,18000,hsc_OBG1022
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OBG1023
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OBG1024
,,,,,Product,Public Price,Fix Price,1,5000,hsc_OBG1025
,,,,,Product,Public Price,Fix Price,1,4500,hsc_OBG1026
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OBG1027
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1028
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1029
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1030
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1031
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1032
,,,,,Product,Public Price,Fix Price,1,30000,hsc_OBG1033
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1034
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1035
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1036
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1037
,,,,,Product,Public Price,Fix Price,1,45000,hsc_OBG1038
,,,,,Product,Public Price,Fix Price,1,8000,hsc_OBG1039
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1040
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1041
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1042
,,,,,Product,Public Price,Fix Price,1,50000,hsc_OBG1043
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1044
,,,,,Product,Public Price,Fix Price,1,22500,hsc_OBG1045
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1046
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1047
,,,,,Product,Public Price,Fix Price,1,22500,hsc_OBG1048
,,,,,Product,Public Price,Fix Price,1,50000,hsc_OBG1049
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1050
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1051
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1052
,,,,,Product,Public Price,Fix Price,1,25000,hsc_OBG1053
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1054
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OBG1055
,,,,,Product,Public Price,Fix Price,1,30000,hsc_OBG1056
,,,,,Product,Public Price,Fix Price,1,40000,hsc_OBG1057
,,,,,Product,Public Price,Fix Price,1,10000,hsc_OBG1058
,,,,,Product,Public Price,Fix Price,1,1000,hsc_OPH1001
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1002
,,,,,Product,Public Price,Fix Price,1,10000,hsc_OPH1003
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1004
,,,,,Product,Public Price,Fix Price,1,7500,hsc_OPH1005
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1006
,,,,,Product,Public Price,Fix Price,1,7500,hsc_OPH1007
,,,,,Product,Public Price,Fix Price,1,1000,hsc_OPH1008
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1009
,,,,,Product,Public Price,Fix Price,1,20000,hsc_OPH1010
,,,,,Product,Public Price,Fix Price,1,1250,hsc_OPH1011
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1012
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1013
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1014
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1015
,,,,,Product,Public Price,Fix Price,1,15000,hsc_OPH1016
,,,,,Product,Public Price,Fix Price,1,17500,hsc_OPH1017
,,,,,Product,Public Price,Fix Price,1,12500,hsc_OPH1018
,,,,,Product,Public Price,Fix Price,1,1500,hsc_OPH1019
,,,,,Product,Public Price,Fix Price,1,12500,hsc_OPH1020
,,,,,Product,Public Price,Fix Price,1,1500,hsc_OPH1021
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1001
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1002
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1003
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1004
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORT1005
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1006
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1007
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1008
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORT1009
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1010
,,,,,Product,Public Price,Fix Price,1,33000,hsc_ORT1011
,,,,,Product,Public Price,Fix Price,1,27500,hsc_ORT1012
,,,,,Product,Public Price,Fix Price,1,45000,hsc_ORT1013
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1014
,,,,,Product,Public Price,Fix Price,1,45000,hsc_ORT1015
,,,,,Product,Public Price,Fix Price,1,50000,hsc_ORT1016
,,,,,Product,Public Price,Fix Price,1,30000,hsc_ORT1017
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1018
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1019
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1020
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1021
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1022
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1023
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1024
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1025
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1026
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1027
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1028
,,,,,Product,Public Price,Fix Price,1,40000,hsc_ORT1029
,,,,,Product,Public Price,Fix Price,1,35000,hsc_ORT1030
